----------Test start!----------		0:0:0.00
Left Click		0:0:0.61
Right Click		0:0:1.46
Left Click		0:0:2.31
Left Click		0:0:3.36
Left Click		0:0:5.57
Left Click		0:0:6.43
Left Click		0:0:7.01
Left Click		0:0:7.43
Left Click		0:0:8.22
Left Click		0:0:8.63
Left Click		0:0:9.21
Left Click		0:0:9.36
Right Click		0:0:10.69
Left Click		0:0:13.47
Left Click		0:0:15.52
Left Click		0:0:16.60
Left Click		0:0:17.25
Left Click		0:0:17.86
Left Click		0:0:18.36
Left Click		0:0:19.05
Left Click		0:0:19.53
Left Click		0:0:20.42
Left Click		0:0:20.96
Right Click		0:0:21.74
Left Click		0:0:22.85
Right Click		0:0:23.13
Left Click		0:0:24.40
Left Click		0:0:25.69
Left Click		0:0:25.83
Right Click		0:0:26.98
Left Click		0:0:28.43
Left Click		0:0:29.47
Left Click		0:0:29.63
Left Click		0:0:31.30
Left Click		0:0:32.06
Left Click		0:0:32.73
Left Click		0:0:33.24
Left Click		0:0:34.06
---------- Test end! ----------		0:0:34.60
