----------Test start!----------		0:0:0.00
Left Click		0:0:0.47
Left Click		0:0:0.76
Left Click		0:0:4.59
Left Click		0:0:6.46
Left Click		0:0:8.84
Left Click		0:0:10.11
Left Click		0:0:10.92
Left Click		0:0:11.94
Left Click		0:0:12.90
Left Click		0:0:13.83
Left Click		0:0:14.51
Left Click		0:0:15.43
Left Click		0:0:15.89
Left Click		0:0:17.17
Left Click		0:0:18.38
Left Click		0:0:20.96
Left Click		0:0:24.05
Left Click		0:0:27.65
Left Click		0:0:30.98
Left Click		0:0:31.41
Left Click		0:0:35.68
Left Click		0:0:41.77
Left Click		0:0:45.79
Left Click		0:0:48.27
Left Click		0:0:50.14
Left Click		0:0:53.92
---------- Test end! ----------		0:0:54.65
